Blender 4.0.2
Fra:1 Mem:71.63M (Peak 72.71M) | Time:00:01.06 | Syncing AurelianContinuousTerrain
Fra:1 Mem:74.01M (Peak 74.01M) | Time:00:01.69 | Syncing RiverWater
Fra:1 Mem:74.03M (Peak 74.03M) | Time:00:01.69 | Syncing RoadApproach
Fra:1 Mem:74.05M (Peak 74.05M) | Time:00:01.69 | Syncing building_bridge_A
Fra:1 Mem:78.16M (Peak 82.07M) | Time:00:02.21 | Syncing Role_bridge
Fra:1 Mem:78.16M (Peak 82.07M) | Time:00:02.21 | Syncing tree_single_A
Fra:1 Mem:82.18M (Peak 86.17M) | Time:00:02.23 | Syncing Role_tree_a
Fra:1 Mem:82.19M (Peak 86.17M) | Time:00:02.23 | Syncing tree_single_B
Fra:1 Mem:82.22M (Peak 86.17M) | Time:00:02.23 | Syncing Role_tree_b
Fra:1 Mem:82.23M (Peak 86.17M) | Time:00:02.23 | Syncing tree_single_A.001
Fra:1 Mem:82.24M (Peak 86.17M) | Time:00:02.23 | Syncing Role_tree_a.001
Fra:1 Mem:82.25M (Peak 86.17M) | Time:00:02.23 | Syncing tree_single_B.001
Fra:1 Mem:82.28M (Peak 86.17M) | Time:00:02.23 | Syncing Role_tree_b.001
Fra:1 Mem:82.29M (Peak 86.17M) | Time:00:02.23 | Syncing tree_single_A.002
Fra:1 Mem:82.30M (Peak 86.17M) | Time:00:02.23 | Syncing Role_tree_a.002
Fra:1 Mem:82.30M (Peak 86.17M) | Time:00:02.23 | Syncing tree_single_B.002
Fra:1 Mem:82.34M (Peak 86.17M) | Time:00:02.23 | Syncing Role_tree_b.002
Fra:1 Mem:82.35M (Peak 86.17M) | Time:00:02.23 | Syncing tree_single_A.003
Fra:1 Mem:82.36M (Peak 86.17M) | Time:00:02.23 | Syncing Role_tree_a.003
Fra:1 Mem:82.36M (Peak 86.17M) | Time:00:02.23 | Syncing tree_single_B.003
Fra:1 Mem:82.40M (Peak 86.17M) | Time:00:02.23 | Syncing Role_tree_b.003
Fra:1 Mem:82.40M (Peak 86.17M) | Time:00:02.23 | Syncing rock_single_C
Fra:1 Mem:82.41M (Peak 86.17M) | Time:00:02.23 | Syncing Role_rock_c
Fra:1 Mem:82.42M (Peak 86.17M) | Time:00:02.23 | Syncing rock_single_E
