Blender 4.0.2
Fra:1 Mem:85.00M (Peak 85.00M) | Time:00:00.03 | Syncing rock_single_C.006
Fra:1 Mem:85.01M (Peak 85.01M) | Time:00:00.03 | Syncing Role_rock_c.006
Fra:1 Mem:85.01M (Peak 85.01M) | Time:00:00.03 | Syncing rock_single_C.007
Fra:1 Mem:85.03M (Peak 85.03M) | Time:00:00.03 | Syncing Role_rock_c.007
Fra:1 Mem:85.03M (Peak 85.03M) | Time:00:00.03 | Syncing rock_single_C.008
Fra:1 Mem:85.04M (Peak 85.04M) | Time:00:00.03 | Syncing Role_rock_c.008
Fra:1 Mem:85.05M (Peak 85.05M) | Time:00:00.03 | Syncing rock_single_C.009
Fra:1 Mem:85.06M (Peak 85.06M) | Time:00:00.03 | Syncing Role_rock_c.009
Fra:1 Mem:85.06M (Peak 85.06M) | Time:00:00.03 | Syncing CampHearthLog_0
Fra:1 Mem:85.07M (Peak 85.07M) | Time:00:00.03 | Syncing CampHearthLog_1
Fra:1 Mem:85.08M (Peak 85.08M) | Time:00:00.03 | Syncing CampHearthFlame
Fra:1 Mem:85.09M (Peak 85.09M) | Time:00:00.03 | Syncing CampHearthWarmLight
Fra:1 Mem:85.10M (Peak 85.10M) | Time:00:00.03 | Syncing tent
Fra:1 Mem:89.12M (Peak 93.11M) | Time:00:00.05 | Syncing camp__tent
Fra:1 Mem:89.13M (Peak 93.11M) | Time:00:00.05 | Syncing flag_red
Fra:1 Mem:89.14M (Peak 93.11M) | Time:00:00.05 | Syncing camp__flag_red
Fra:1 Mem:89.15M (Peak 93.11M) | Time:00:00.05 | Syncing crate_A_big
Fra:1 Mem:89.17M (Peak 93.11M) | Time:00:00.05 | Syncing camp__crate_big
Fra:1 Mem:89.18M (Peak 93.11M) | Time:00:00.05 | Syncing crate_A_small
Fra:1 Mem:89.20M (Peak 93.11M) | Time:00:00.05 | Syncing camp__crate_small
Fra:1 Mem:89.20M (Peak 93.11M) | Time:00:00.05 | Syncing resource_lumber
Fra:1 Mem:89.24M (Peak 93.11M) | Time:00:00.06 | Syncing camp__lumber
Fra:1 Mem:89.25M (Peak 93.11M) | Time:00:00.06 | Syncing sack
Fra:1 Mem:89.26M (Peak 93.11M) | Time:00:00.06 | Syncing camp__sack
Fra:1 Mem:89.27M (Peak 93.11M) | Time:00:00.06 | Syncing barrel
Fra:1 Mem:89.31M (Peak 93.11M) | Time:00:00.06 | Syncing camp__barrel
Fra:1 Mem:89.31M (Peak 93.11M) | Time:00:00.06 | Syncing wheelbarrow
Fra:1 Mem:89.37M (Peak 93.11M) | Time:00:00.06 | Syncing camp__wheelbarrow
Fra:1 Mem:89.37M (Peak 93.11M) | Time:00:00.06 | Syncing AurelianVillageV4Sun
Fra:1 Mem:89.37M (Peak 93.11M) | Time:00:00.06 | Syncing VillageV4DesktopCamera
Fra:1 Mem:89.24M (Peak 93.11M) | Time:00:00.07 | Rendering 1 / 64 samples
Fra:1 Mem:87.49M (Peak 93.11M) | Time:00:08.74 | Rendering 26 / 64 samples
Fra:1 Mem:87.49M (Peak 93.11M) | Time:00:16.49 | Rendering 51 / 64 samples
Fra:1 Mem:87.49M (Peak 93.11M) | Time:00:20.52 | Rendering 64 / 64 samples
Saved: '/home/runner/work/_temp/pixel-nations-village-v4-reauthor/render/desktop/stage-01-camp.png'
Time: 00:21.20 (Saving: 00:00.33)

Fra:1 Mem:87.42M (Peak 87.42M) | Time:00:00.02 | Syncing AurelianContinuousTerrain
Fra:1 Mem:88.90M (Peak 88.90M) | Time:00:00.03 | Syncing RiverWater
Fra:1 Mem:88.92M (Peak 88.92M) | Time:00:00.03 | Syncing RoadApproach
Fra:1 Mem:88.93M (Peak 88.93M) | Time:00:00.03 | Syncing building_bridge_A
Fra:1 Mem:89.01M (Peak 89.01M) | Time:00:00.03 | Syncing Role_bridge
Fra:1 Mem:89.02M (Peak 89.02M) | Time:00:00.03 | Syncing tree_single_A
Fra:1 Mem:89.03M (Peak 89.03M) | Time:00:00.03 | Syncing Role_tree_a
Fra:1 Mem:89.04M (Peak 89.04M) | Time:00:00.03 | Syncing tree_single_B
Fra:1 Mem:89.07M (Peak 89.07M) | Time:00:00.03 | Syncing Role_tree_b
Fra:1 Mem:89.07M (Peak 89.07M) | Time:00:00.03 | Syncing tree_single_A.001
Fra:1 Mem:89.08M (Peak 89.08M) | Time:00:00.03 | Syncing Role_tree_a.001
Fra:1 Mem:89.09M (Peak 89.09M) | Time:00:00.03 | Syncing tree_single_B.001
Fra:1 Mem:89.12M (Peak 89.12M) | Time:00:00.03 | Syncing Role_tree_b.001
Fra:1 Mem:89.13M (Peak 89.13M) | Time:00:00.03 | Syncing tree_single_A.002
Fra:1 Mem:89.14M (Peak 89.14M) | Time:00:00.03 | Syncing Role_tree_a.002
Fra:1 Mem:89.14M (Peak 89.14M) | Time:00:00.03 | Syncing tree_single_B.002
Fra:1 Mem:89.18M (Peak 89.18M) | Time:00:00.03 | Syncing Role_tree_b.002
Fra:1 Mem:89.18M (Peak 89.18M) | Time:00:00.03 | Syncing rock_single_C
Fra:1 Mem:89.19M (Peak 89.19M) | Time:00:00.03 | Syncing Role_rock_c
Fra:1 Mem:89.20M (Peak 89.20M) | Time:00:00.03 | Syncing rock_single_E
Fra:1 Mem:89.21M (Peak 89.21M) | Time:00:00.03 | Syncing Role_rock_e
Fra:1 Mem:89.22M (Peak 89.22M) | Time:00:00.03 | Syncing rock_single_C.001
Fra:1 Mem:89.23M (Peak 89.23M) | Time:00:00.03 | Syncing Role_rock_c.001
Fra:1 Mem:89.23M (Peak 89.23M) | Time:00:00.03 | Syncing rock_single_E.001
Fra:1 Mem:89.24M (Peak 89.24M) | Time:00:00.03 | Syncing Role_rock_e.001
Fra:1 Mem:89.25M (Peak 89.25M) | Time:00:00.03 | Syncing CampPath
Fra:1 Mem:89.26M (Peak 89.26M) | Time:00:00.03 | Syncing rock_single_C.002
Fra:1 Mem:89.27M (Peak 89.27M) | Time:00:00.03 | Syncing Role_rock_c.002
Fra:1 Mem:89.27M (Peak 89.27M) | Time:00:00.03 | Syncing rock_single_C.003
Fra:1 Mem:89.28M (Peak 89.28M) | Time:00:00.03 | Syncing Role_rock_c.003
Fra:1 Mem:89.29M (Peak 89.29M) | Time:00:00.03 | Syncing rock_single_C.004
Fra:1 Mem:89.30M (Peak 89.30M) | Time:00:00.03 | Syncing Role_rock_c.004
Fra:1 Mem:89.30M (Peak 89.30M) | Time:00:00.03 | Syncing rock_single_C.005
Fra:1 Mem:89.31M (Peak 89.31M) | Time:00:00.03 | Syncing Role_rock_c.005
Fra:1 Mem:89.32M (Peak 89.32M) | Time:00:00.03 | Syncing rock_single_C.006
Fra:1 Mem:89.33M (Peak 89.33M) | Time:00:00.03 | Syncing Role_rock_c.006
Fra:1 Mem:89.33M (Peak 89.33M) | Time:00:00.03 | Syncing rock_single_C.007
Fra:1 Mem:89.34M (Peak 89.34M) | Time:00:00.03 | Syncing Role_rock_c.007
Fra:1 Mem:89.35M (Peak 89.35M) | Time:00:00.03 | Syncing rock_single_C.008
Fra:1 Mem:89.36M (Peak 89.36M) | Time:00:00.03 | Syncing Role_rock_c.008
Fra:1 Mem:89.36M (Peak 89.36M) | Time:00:00.03 | Syncing rock_single_C.009
Fra:1 Mem:89.37M (Peak 89.37M) | Time:00:00.03 | Syncing Role_rock_c.009
Fra:1 Mem:89.38M (Peak 89.38M) | Time:00:00.03 | Syncing CampHearthLog_0
Fra:1 Mem:89.39M (Peak 89.39M) | Time:00:00.03 | Syncing CampHearthLog_1
Fra:1 Mem:89.40M (Peak 89.40M) | Time:00:00.03 | Syncing CampHearthFlame
Fra:1 Mem:89.41M (Peak 89.41M) | Time:00:00.03 | Syncing CampHearthWarmLight
Fra:1 Mem:89.41M (Peak 89.41M) | Time:00:00.03 | Syncing tent
Fra:1 Mem:89.43M (Peak 89.43M) | Time:00:00.03 | Syncing camp__tent
Fra:1 Mem:89.43M (Peak 89.43M) | Time:00:00.03 | Syncing flag_red
Fra:1 Mem:89.44M (Peak 89.44M) | Time:00:00.03 | Syncing camp__flag_red
Fra:1 Mem:89.45M (Peak 89.45M) | Time:00:00.03 | Syncing crate_A_big
Fra:1 Mem:89.47M (Peak 89.47M) | Time:00:00.03 | Syncing camp__crate_big
Fra:1 Mem:89.48M (Peak 89.48M) | Time:00:00.03 | Syncing crate_A_small
Fra:1 Mem:89.50M (Peak 89.50M) | Time:00:00.03 | Syncing camp__crate_small
Fra:1 Mem:89.50M (Peak 89.50M) | Time:00:00.03 | Syncing resource_lumber
Fra:1 Mem:89.54M (Peak 89.54M) | Time:00:00.03 | Syncing camp__lumber
Fra:1 Mem:89.54M (Peak 89.54M) | Time:00:00.03 | Syncing sack
Fra:1 Mem:89.56M (Peak 89.56M) | Time:00:00.03 | Syncing camp__sack
Fra:1 Mem:89.56M (Peak 89.56M) | Time:00:00.03 | Syncing barrel
Fra:1 Mem:89.60M (Peak 89.60M) | Time:00:00.03 | Syncing camp__barrel
